final_query_clean,source_type,confidence_score,chunk_char_count,is_fallback,chunk_faithfulness,chunk_rank,timestamp,llm_output,date,hour,day_name,is_weekend,Execution_time,total_tokens,Model_used,query_length,query_word_count,response_length,Confidence_Category,chunk_character_count,num_chunks,source_evidence,root_cause,chunk_list
what is the law and regulation in HSE,Course_Material,0.75,1175.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.209800673645792,2884,Claude Haiku,37,8,0,Medium,1175.0,4.0,Source context loaded,Success,[{'text': 'what is the law and regulation in HSE'}]
What is Lov policy and do you have any Laws related to arbeidsmiljoloven?,Course_Material,0.95,940.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.476624440525998,7913,Claude Sonnet,73,13,0,High,940.0,4.0,Source context loaded,Success,[{'text': 'What is Lov policy and do you have any Laws related to arbeidsmiljoloven?'}]
suggest me some HSE course in pricing wose decending orders list?,General_course,0.95,664.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.3356484939152353,6623,Claude Haiku,65,11,0,High,664.0,3.0,Source context loaded,Success,[{'text': 'suggest me some HSE course in pricing wose decending orders list?'}]
List of available Courses for me?,General_course,0.8,1317.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.9044454782056328,6831,Claude Sonnet,33,6,0,Medium,1317.0,5.0,Source context loaded,Success,[{'text': 'List of available Courses for me?'}]
Tell me more about the Scaffold builder course?,Course_Material,0.8,1285.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.2169338921770776,7239,Claude Haiku,47,8,0,Medium,1285.0,5.0,Source context loaded,Success,[{'text': 'Tell me more about the Scaffold builder course?'}]
How can i purchased it ?,General_course,0.55,531.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.4034232991973787,3460,Claude Sonnet,24,6,0,Low,531.0,2.0,Source context loaded,Success,[{'text': 'How can i purchased it ?'}]
What is the leave policy if I am injured by a chemical at my workplace?,Course_Material,0.2,819.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.4136819064171355,5046,Claude Haiku,71,15,0,Low,819.0,3.0,Source context loaded,Success,[{'text': 'What is the leave policy if I am injured by a chemical at my workplace?'}]
What is Leave policy for a pragnent lady,Course_Material,0.8,932.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.294322980603643,3609,Claude Sonnet,40,8,0,Medium,932.0,4.0,Source context loaded,Success,[{'text': 'What is Leave policy for a pragnent lady'}]
what is aml or Arbeidsmiljøloven laws,HSE_Laws,0.85,1077.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.1566136012901205,4372,Claude Haiku,37,6,0,Medium,1077.0,4.0,Source context loaded,Success,[{'text': 'what is aml or Arbeidsmiljøloven laws'}]
what should i do if my manager doesn't follow the safety rules?,Course_Material,0.9,847.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.198242862927237,7355,Claude Sonnet,63,12,0,High,847.0,3.0,Source context loaded,Success,"[{'text': ""what should i do if my manager doesn't follow the safety rules?""}]"
summarized this Forskrift om utførelse av arbeid laws,HSE_Laws,0.85,1627.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.903059967392853,4856,Claude Haiku,53,8,0,Medium,1627.0,6.0,Source context loaded,Success,[{'text': 'summarized this Forskrift om utførelse av arbeid laws'}]
whay is the purpose of HSE at workspace ?,HSE_Laws,0.95,1370.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.4169790607466206,6970,Claude Sonnet,41,9,0,High,1370.0,5.0,Source context loaded,Success,[{'text': 'whay is the purpose of HSE at workspace ?'}]
who are you ?,General_course,0.85,1317.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.1908530079615574,3620,Claude Haiku,13,4,0,Medium,1317.0,5.0,Source context loaded,Success,[{'text': 'who are you ?'}]
What is purpose of 'Forskrift om utførelse av arbeid laws',HSE_Laws,0.75,976.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.5094129436616615,5229,Claude Sonnet,58,10,0,Medium,976.0,4.0,Source context loaded,Success,"[{'text': ""What is purpose of 'Forskrift om utførelse av arbeid laws'""}]"
How can i purchased a HMS course for manager,General_course,0.95,1335.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.94735621953916,4885,Claude Haiku,44,9,0,High,1335.0,5.0,Source context loaded,Success,[{'text': 'How can i purchased a HMS course for manager'}]
"Hva er formålet med kurset ""Skreddersydd opplæring i brann og eksplosjonsvern i industrien""?",General_course,0.95,1494.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.3720877493150296,5389,Claude Sonnet,92,13,0,High,1494.0,5.0,Source context loaded,Success,"[{'text': 'Hva er formålet med kurset ""Skreddersydd opplæring i brann og eksplosjonsvern i industrien""?'}]"
What topics are covered in this course(course name -brann-og-eksplosjonsvern-i-industrien) on fire and explosion hazards?,General_course,0.85,1404.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.355139076753531,3799,Claude Haiku,121,14,0,Medium,1404.0,5.0,Source context loaded,Success,[{'text': 'What topics are covered in this course(course name -brann-og-eksplosjonsvern-i-industrien) on fire and explosion hazards?'}]
what is the puspose of Course on SHA and the Construction Contractors' Regulations?,Course_Material,0.92,929.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.5276299993852465,5420,Claude Sonnet,83,13,0,High,929.0,4.0,Source context loaded,Success,"[{'text': ""what is the puspose of Course on SHA and the Construction Contractors' Regulations?""}]"
Suggest a resignation process for leaving my job due to a high level of pressure from my manager regarding the workload?,HSE_Laws,0.3,1554.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.252717329962132,7048,Claude Haiku,120,21,0,Low,1554.0,6.0,Source context loaded,Success,[{'text': 'Suggest a resignation process for leaving my job due to a high level of pressure from my manager regarding the workload?'}]
what is leave policy for a pragnant woman ?,HSE_Laws,0.95,680.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.7572890201002713,2413,Claude Sonnet,43,9,0,High,680.0,3.0,Source context loaded,Success,[{'text': 'what is leave policy for a pragnant woman ?'}]
what is the law and regulation in HSE?,HSE_Laws,0.92,1391.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.1673141025786355,3454,Claude Haiku,38,8,0,High,1391.0,5.0,Source context loaded,Success,[{'text': 'what is the law and regulation in HSE?'}]
What are the requirements for explosion risk assessment?,HSE_Laws,0.95,2574.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.8376309308127992,3915,Claude Sonnet,56,8,0,High,2574.0,9.0,Source context loaded,Success,[{'text': 'What are the requirements for explosion risk assessment?'}]
• What is Leave policy for a pragnent lady during work.,HSE_Laws,0.88,1211.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.7568270496734071,4936,Claude Haiku,55,11,0,High,1211.0,5.0,Source context loaded,Success,[{'text': '• What is Leave policy for a pragnent lady during work.'}]
Who is responsible for describing the surroundings of a major accident activity?,HSE_Laws,0.3,2089.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.6628808087351741,4645,Claude Sonnet,80,12,0,Low,2089.0,7.0,Source context loaded,Success,[{'text': 'Who is responsible for describing the surroundings of a major accident activity?'}]
what should i do if my manager not allowed me to go 7 day sick leave ? should i complain to my manager ?,none,0.1,0.0,True,0.0,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.7301951177026076,6638,Claude Haiku,104,24,0,Low,0.0,0.0,No source found,Retrieval Failure: Missing Data,[]
What are employee rights regarding work environment and safety?,HSE_Laws,0.85,2424.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.3830088018860733,3178,Claude Sonnet,63,9,0,Medium,2424.0,9.0,Source context loaded,Success,[{'text': 'What are employee rights regarding work environment and safety?'}]
What is the role of verneombud (safety representatives)?,HSE_Laws,0.95,2432.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.3779238610518378,2535,Claude Haiku,56,8,0,High,2432.0,9.0,Source context loaded,Success,[{'text': 'What is the role of verneombud (safety representatives)?'}]
what is the best course for manager ?,General_course,0.9,971.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.6287589646198604,6379,Claude Sonnet,37,8,0,High,971.0,4.0,Source context loaded,Success,[{'text': 'what is the best course for manager ?'}]
What topics are covered in the HMS course for managers?,Course_Material,0.85,754.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.937083604619767,1712,Claude Haiku,55,10,0,Medium,754.0,3.0,Source context loaded,Success,[{'text': 'What topics are covered in the HMS course for managers?'}]
i have accedently burn in my workspace ? what is the processs of file this accedent in company?,HSE_Laws,0.85,1946.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.1880882659298475,4197,Claude Sonnet,95,18,0,Medium,1946.0,7.0,Source context loaded,Success,[{'text': 'i have accedently burn in my workspace ? what is the processs of file this accedent in company?'}]
Do I need a medical certificate for workplace accidents?,HSE_Laws,0.6,1461.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.419852981214699,6042,Claude Haiku,56,9,0,Medium,1461.0,5.0,Source context loaded,Success,[{'text': 'Do I need a medical certificate for workplace accidents?'}]
Gjelder forskriften for virksomheter uten arbeidstakere?,HSE_Laws,0.92,4493.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.869194370142364,7683,Claude Sonnet,56,6,0,High,4493.0,15.0,Source context loaded,Success,[{'text': 'Gjelder forskriften for virksomheter uten arbeidstakere?'}]
how much days are allowed to a pragnent leave for a woman?,HSE_Laws,0.8,1258.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.3008028858806777,4188,Claude Haiku,58,12,0,Medium,1258.0,5.0,Source context loaded,Success,[{'text': 'how much days are allowed to a pragnent leave for a woman?'}]
how can i complain any accedent on on workspace ?,HSE_Laws,0.4,678.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.8082596599578105,5094,Claude Sonnet,49,10,0,Low,678.0,3.0,Source context loaded,Success,[{'text': 'how can i complain any accedent on on workspace ?'}]
What safety documentation is required at work?,Course_Material,0.85,771.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.865567438602291,5728,Claude Haiku,46,7,0,Medium,771.0,3.0,Source context loaded,Success,[{'text': 'What safety documentation is required at work?'}]
what safety items shoud i carry on cement industry workspace ?,HSE_Laws,0.85,1822.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.2010710479101308,7104,Claude Sonnet,62,11,0,Medium,1822.0,7.0,Source context loaded,Success,[{'text': 'what safety items shoud i carry on cement industry workspace ?'}]
What protections do pregnant employees have against termination?,HSE_Laws,0.95,1854.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.9221401782882863,6468,Claude Haiku,64,8,0,High,1854.0,7.0,Source context loaded,Success,[{'text': 'What protections do pregnant employees have against termination?'}]
how many course avialble in your system?,General_course,0.95,1384.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,0.5410552472827095,5386,Claude Sonnet,40,7,0,High,1384.0,5.0,Source context loaded,Success,[{'text': 'how many course avialble in your system?'}]
Gjelder forskriften kun for virksomheter med ansatte?,HSE_Laws,0.92,1080.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.238547343277513,3493,Claude Haiku,53,7,0,High,1080.0,4.0,Source context loaded,Success,[{'text': 'Gjelder forskriften kun for virksomheter med ansatte?'}]
List of available Courses for me,General_course,0.95,0.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.7615296815009345,6712,Claude Sonnet,32,6,0,High,0.0,0.0,Source context loaded,Success,[{'text': 'List of available Courses for me'}]
what protections do pregnant employees have against termination?,HSE_Laws,0.95,1854.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,2.0141523442106037,7415,Claude Haiku,64,8,0,High,1854.0,7.0,Source context loaded,Success,[{'text': 'what protections do pregnant employees have against termination?'}]
Hva er viktige elementer å ha med i en værnerunde når jeg jobber på kontor?,Course_Material,0.85,1253.0,False,0.85,1,2026-05-20 17:30:10.302553,,2026-05-20,17,Wednesday,False,1.4705628733903224,5591,Claude Sonnet,75,15,0,Medium,1253.0,5.0,Source context loaded,Success,[{'text': 'Hva er viktige elementer å ha med i en værnerunde når jeg jobber på kontor?'}]
